celebrity_name,ballroom_partner,season,placement,results,elimination_week,celebrity_industry,celebrity_age,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count
Amber Riley,Derek Hough,17,1,1st Place,,Actor/Actress,27,27.0,9.0,3,24.0,8.0,3,24.0,8.0,3,27.0,9.0,3,26.0,8.666666666666666,3,31.999899999999997,10.666633333333332,3,29.5,9.833333333333334,3,28.0,9.333333333333334,3,25.5,8.5,3,39.5,9.875,4,31.333199999999998,10.4444,3
Keyshawn Johnson,Sharna Burgess,17,12,Eliminated Week 2,2.0,Athlete,41,17.0,5.666666666666667,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Bill Engvall,Emma Slater,17,4,Eliminated Week 11,11.0,Comedian,56,18.0,6.0,3,21.0,7.0,3,24.0,8.0,3,21.0,7.0,3,24.0,8.0,3,23.9999,7.9999666666666664,3,25.0,8.333333333333334,3,24.0,8.0,3,21.0,7.0,3,30.0,7.5,4,25.499899999999997,8.499966666666666,3
Christina Milian,Mark Ballas,17,9,Eliminated Week 5,5.0,Singer/Rapper,31,22.0,7.333333333333333,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,24.0,8.0,3,28.0,9.333333333333334,3,,,0,,,0,,,0,,,0,,,0,,,0
"Nicole ""Snooki"" Polizzi",Sasha Farber,17,8,Eliminated Week 7,7.0,TV Personality,25,23.0,7.666666666666667,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,24.0,8.0,3,27.0,9.0,3,30.0,10.0,3,27.0,9.0,3,,,0,,,0,,,0,,,0
Jack Osbourne,Cheryl Burke,17,3,3rd Place,,TV Personality,27,23.0,7.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,24.0,8.0,3,27.0,9.0,3,26.9998,8.999933333333333,3,28.5,9.5,3,30.0,10.0,3,27.0,9.0,3,35.5,8.875,4,27.999899999999997,9.3333,3
Bill Nye,Tyne Stecklein,17,11,Eliminated Week 3,3.0,TV Personality,57,14.0,4.666666666666667,3,17.0,5.666666666666667,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Billy Dee Williams,Emma Slater,18,10,Withdrew,-1.0,Actor/Actress,76,15.0,5.0,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Danica McKellar,Valentin Chmerkovskiy,18,6,Eliminated Week 8,8.0,Actor/Actress,39,24.0,8.0,3,24.0,8.0,3,36.0,9.0,4,32.0,8.0,4,39.0,9.75,4,36.0,9.0,4,36.0,9.0,4,38.0,9.5,4,,,0,,,0,,,0
James Maslow,Peta Murgatroyd,18,4,Eliminated Week 10,10.0,Actor/Actress,23,21.0,7.0,3,25.0,8.333333333333334,3,36.0,9.0,4,35.0,8.75,4,40.0,10.0,4,35.0,8.75,4,35.0,8.75,4,36.0,9.0,4,38.0,9.5,4,29.0,9.666666666666666,3,,,0
Candace Cameron Bure,Mark Ballas,18,3,3rd Place,,Actor/Actress,37,25.0,8.333333333333334,3,21.0,7.0,3,32.0,8.0,4,28.0,7.0,4,35.0,8.75,4,32.0,8.0,4,37.0,9.25,4,36.0,9.0,4,36.0,9.0,4,25.9998,8.6666,3,,,0
Sean Avery,Karina Smirnoff,18,11,Eliminated Week 2,2.0,Athlete,33,20.0,6.666666666666667,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Diana Nyad,Henry Byalikov,18,12,Eliminated Week 2,2.0,Athlete,64,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Charlie White,Sharna Burgess,18,5,Eliminated Week 9,9.0,Athlete,26,27.0,9.0,3,25.0,8.333333333333334,3,36.0,9.0,4,33.0,8.25,4,37.0,9.25,4,36.0,9.0,4,35.5,8.875,4,40.0,10.0,4,38.0,9.5,4,,,0,,,0
Amy Purdy,Derek Hough,18,2,2nd Place,,Athlete,34,24.0,8.0,3,24.0,8.0,3,36.0,9.0,4,34.0,8.5,4,37.0,9.25,4,38.0,9.5,4,37.5,9.375,4,40.0,10.0,4,39.0,9.75,4,29.666600000000003,9.888866666666667,3,,,0
Meryl Davis,Maksim Chmerkoskiy,18,1,1st Place,,Athlete,27,24.0,8.0,3,25.0,8.333333333333334,3,39.0,9.75,4,39.0,9.75,4,36.0,9.0,4,40.0,10.0,4,39.0,9.75,4,36.0,9.0,4,40.0,10.0,4,30.0,10.0,3,,,0
Drew Carey,Cheryl Burke,18,8,Eliminated Week 6,6.0,Comedian,55,21.0,7.0,3,21.0,7.0,3,30.0,7.5,4,33.0,8.25,4,28.0,7.0,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0
Cody Simpson,Witney Carson,18,9,Eliminated Week 5,5.0,Singer/Rapper,17,22.0,7.333333333333333,3,22.0,7.333333333333333,3,35.0,8.75,4,31.0,7.75,4,34.0,8.5,4,,,0,,,0,,,0,,,0,,,0,,,0
NeNe Leakes,Tony Dovolani,18,7,Eliminated Week 7,7.0,TV Personality,46,21.0,7.0,3,21.0,7.0,3,31.0,7.75,4,32.0,8.0,4,36.0,9.0,4,33.0,8.25,4,33.0,8.25,4,,,0,,,0,,,0,,,0
Antonio Sabato Jr.,Cheryl Burke,19,8,Eliminated Week 7,7.0,Actor/Actress,42,25.0,6.25,4,31.0,7.75,4,29.0,7.25,4,29.0,7.25,4,28.0,7.0,4,28.0,7.0,4,29.5,7.375,4,,,0,,,0,,,0,,,0
Jonathan Bennett,Allison Holker,19,9,Eliminated Week 6,6.0,Actor/Actress,33,30.0,7.5,4,30.0,7.5,4,32.0,8.0,4,24.0,6.0,4,24.0,6.0,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0
Lea Thompson,Artem Chigvintsev,19,6,Eliminated Week 9,9.0,Actor/Actress,53,32.0,8.0,4,35.0,8.75,4,31.0,7.75,4,39.0,9.75,4,34.0,8.5,4,32.0,8.0,4,35.0,8.75,4,32.0,8.0,4,35.0,8.75,4,,,0,,,0
Janel Parrish,Valentin Chmerkovskiy,19,3,3rd Place,,Actor/Actress,25,29.0,7.25,4,34.0,8.5,4,40.0,10.0,4,36.0,9.0,4,33.0,8.25,4,33.0,8.25,4,33.5,8.375,4,43.0,10.75,4,38.5,9.625,4,39.0,9.75,4,38.99980000000001,9.749950000000002,4
Alfonso Ribeiro,Witney Carson,19,1,1st Place,,Actor/Actress,42,36.0,9.0,4,32.0,8.0,4,32.0,8.0,4,40.0,10.0,4,34.0,8.5,4,39.0,9.75,4,34.0,8.5,4,41.0,10.25,4,38.5,9.625,4,37.5,9.375,4,40.0,10.0,4
Lolo Jones,Keo Motsepe,19,13,Eliminated Week 1,1.0,Athlete,32,22.0,5.5,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Randy Couture,Karina Smirnoff,19,11,Eliminated Week 3,3.0,Athlete,51,31.0,7.75,4,28.0,7.0,4,26.0,6.5,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tommy Chong,Peta Murgatroyd,19,5,Eliminated Week 10,10.0,Comedian,76,27.0,6.75,4,28.0,7.0,4,34.0,8.5,4,28.0,7.0,4,23.0,5.75,4,28.0,7.0,4,30.0,7.5,4,29.0,7.25,4,28.5,7.125,4,31.0,7.75,4,,,0
Betsey Johnson,Tony Dovolani,19,10,Eliminated Week 4,4.0,Fashion Designer,72,20.0,5.0,4,28.0,7.0,4,29.0,7.25,4,29.0,7.25,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Michael Waltrip,Emma Slater,19,7,Eliminated Week 8,8.0,Racing Driver,51,25.0,6.25,4,24.0,6.0,4,28.0,7.0,4,25.0,6.25,4,20.0,5.0,4,30.0,7.5,4,28.0,7.0,4,25.0,6.25,4,,,0,,,0,,,0
Tavis Smiley,Sharna Burgess,19,12,Eliminated Week 2,2.0,Radio Personality,50,29.0,7.25,4,28.0,7.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Bethany Mota,Derek Hough,19,4,Eliminated Week 11,11.0,Social Media Personality,18,32.0,8.0,4,33.0,8.25,4,40.0,10.0,4,33.0,8.25,4,32.0,8.0,4,36.0,9.0,4,37.5,9.375,4,40.0,10.0,4,37.0,9.25,4,38.0,9.5,4,38.0,9.5,4
Sadie Robertson,Mark Ballas,19,2,2nd Place,,TV Personality,17,34.0,8.5,4,31.0,7.75,4,32.0,8.0,4,37.0,9.25,4,36.0,9.0,4,35.0,8.75,4,31.0,7.75,4,38.0,9.5,4,36.5,9.125,4,37.0,9.25,4,39.333200000000005,9.833300000000001,4
Suzanne Somers,Tony Dovolani,20,9,Eliminated Week 5,5.0,Actor/Actress,68,25.0,6.25,4,28.0,7.0,4,25.0,6.25,4,28.0,7.0,4,28.0,7.0,4,,,0,,,0,,,0,,,0,,,0,,,0
Willow Shields,Mark Ballas,20,7,Eliminated Week 7,7.0,Actor/Actress,14,25.0,6.25,4,32.0,8.0,4,32.0,8.0,4,39.0,9.75,4,34.0,8.5,4,36.5,9.125,4,39.0,9.75,4,,,0,,,0,,,0,,,0
Riker Lynch,Allison Holker,20,2,2nd Place,,Actor/Actress,23,31.0,7.75,4,32.0,8.0,4,34.0,8.5,4,34.0,8.5,4,38.0,9.5,4,38.0,9.5,4,37.0,9.25,4,39.0,9.75,4,40.0,10.0,4,40.0,10.0,4,,,0
Rumer Willis,Valentin Chmerkovskiy,20,1,1st Place,,Actor/Actress,26,32.0,8.0,4,32.0,8.0,4,33.0,8.25,4,35.0,8.75,4,39.0,9.75,4,35.5,8.875,4,37.0,9.25,4,40.0,10.0,4,39.0,9.75,4,40.0,10.0,4,,,0
Nastia Liukin,Derek Hough,20,4,Eliminated Week 9,9.0,Athlete,25,30.0,7.5,4,34.0,8.5,4,34.0,8.5,4,36.0,9.0,4,38.0,9.5,4,36.5,9.125,4,41.0,10.25,4,38.0,9.5,4,40.0,10.0,4,,,0,,,0
Michael Sam,Peta Murgatroyd,20,10,Eliminated Week 4,4.0,Athlete,25,26.0,6.5,4,28.0,7.0,4,24.0,6.0,4,30.0,7.5,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Robert Herjavec,Kym Johnson,20,6,Eliminated Week 8,8.0,Entrepreneur,52,28.0,7.0,4,28.0,7.0,4,29.0,7.25,4,34.0,8.5,4,24.0,6.0,4,33.5,8.375,4,31.0,7.75,4,31.0,7.75,4,,,0,,,0,,,0
Charlotte McKinney,Keo Motsepe,20,11,Eliminated Week 3,3.0,Model,21,22.0,5.5,4,26.0,6.5,4,22.0,5.5,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Noah Galloway,Sharna Burgess,20,3,3rd Place,,Motivational Speaker,33,26.0,6.5,4,27.0,6.75,4,30.0,7.5,4,32.0,8.0,4,28.0,7.0,4,34.0,8.5,4,38.0,9.5,4,31.5,7.875,4,38.0,9.5,4,36.0,9.0,4,,,0
Redfoo,Emma Slater,20,12,Eliminated Week 2,2.0,Singer/Rapper,39,22.0,5.5,4,31.0,7.75,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Patti LaBelle,Artem Chigvintsev,20,8,Eliminated Week 6,6.0,Singer/Rapper,70,25.0,6.25,4,28.0,7.0,4,22.0,5.5,4,30.0,7.5,4,27.0,6.75,4,34.0,8.5,4,,,0,,,0,,,0,,,0,,,0
Chris Soules,Witney Carson,20,5,Eliminated Week 8,8.0,TV Personality,33,26.0,6.5,4,21.0,5.25,4,28.0,7.0,4,27.0,6.75,4,27.0,6.75,4,35.0,8.75,4,31.0,7.75,4,32.0,8.0,4,,,0,,,0,,,0
Gary Busey,Anna Trebunskaya,21,10,Eliminated Week 4,4.0,Actor/Actress,71,15.0,5.0,3,16.5,5.5,3,25.0,6.25,4,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Alexa PenaVega,Mark Ballas,21,6,Eliminated Week 9,9.0,Actor/Actress,27,22.0,7.333333333333333,3,23.0,7.666666666666667,3,36.0,9.0,4,21.0,7.0,3,40.0,10.0,4,30.0,7.5,4,27.5,9.166666666666666,3,26.9998,8.999933333333333,3,30.0,10.0,3,,,0,,,0
Carlos PenaVega,Witney Carson,21,4,Eliminated Week 11,11.0,Actor/Actress,26,23.0,7.666666666666667,3,22.5,7.5,3,31.0,7.75,4,25.0,8.333333333333334,3,39.0,9.75,4,38.0,9.5,4,28.0,9.333333333333334,3,28.9998,9.6666,3,27.0,9.0,3,31.5,10.5,3,30.0,10.0,3
Victor Espinoza,Karina Smirnoff,21,12,Eliminated Week 2,2.0,Athlete,43,15.0,5.0,3,18.5,6.166666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Alek Skarlatos,Lindsay Arnold,21,3,3rd Place,,Military,22,22.0,7.333333333333333,3,22.5,7.5,3,33.0,8.25,4,24.0,8.0,3,29.0,7.25,4,30.0,7.5,4,26.5,8.833333333333334,3,25.0,8.333333333333334,3,25.5,8.5,3,28.5,9.5,3,27.999899999999997,9.3333,3
Chaka Khan,Keo Motsepe,21,13,Eliminated Week 2,2.0,Singer/Rapper,62,13.0,4.333333333333333,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Andy Grammer,Allison Holker,21,7,Eliminated Week 8,8.0,Singer/Rapper,31,21.0,7.0,3,22.0,7.333333333333333,3,29.0,7.25,4,23.0,7.666666666666667,3,36.0,9.0,4,40.0,10.0,4,28.0,9.333333333333334,3,23.9998,7.999933333333334,3,,,0,,,0,,,0
Tamar Braxton,Valentin Chmerkovskiy,21,5,Withdrew,-1.0,Singer/Rapper,38,23.0,7.666666666666667,3,24.5,8.166666666666666,3,33.0,8.25,4,27.0,9.0,3,29.0,7.25,4,40.0,10.0,4,27.0,9.0,3,28.0,9.333333333333334,3,24.5,8.166666666666666,3,,,0,,,0
Nick Carter,Sharna Burgess,21,2,2nd Place,,Singer/Rapper,35,24.0,8.0,3,22.5,7.5,3,36.0,9.0,4,27.0,9.0,3,35.0,8.75,4,39.0,9.75,4,27.0,9.0,3,33.0,11.0,3,27.5,9.166666666666666,3,27.0,9.0,3,30.0,10.0,3
Hayes Grier,Emma Slater,21,8,Eliminated Week 7,7.0,Social Media Personality,15,21.0,7.0,3,22.5,7.5,3,30.0,7.5,4,27.0,9.0,3,30.0,7.5,4,32.0,8.0,4,28.0,9.333333333333334,3,,,0,,,0,,,0,,,0
Bindi Irwin,Derek Hough,21,1,1st Place,,TV Personality,17,24.0,8.0,3,24.0,8.0,3,32.0,8.0,4,28.0,9.333333333333334,3,37.0,9.25,4,40.0,10.0,4,29.0,9.666666666666666,3,28.0,9.333333333333334,3,30.0,10.0,3,31.5,10.5,3,30.0,10.0,3
Kim Zolciak-Biermann,Tony Dovolani,21,11,Withdrew,-1.0,TV Personality,37,12.0,4.0,3,18.5,6.166666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Paula Deen,Louis van Amstel,21,9,Eliminated Week 6,6.0,TV Personality,68,15.0,5.0,3,18.5,6.166666666666667,3,20.0,5.0,4,18.0,6.0,3,26.0,6.5,4,24.0,6.0,4,,,0,,,0,,,0,,,0,,,0
Mischa Barton,Artem Chigvintsev,22,11,Eliminated Week 3,3.0,Actor/Actress,30,16.0,5.333333333333333,3,15.0,5.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Kim Fields,Sasha Farber,22,8,Eliminated Week 7,7.0,Actor/Actress,46,20.0,6.666666666666667,3,19.0,6.333333333333333,3,22.0,7.333333333333333,3,32.0,8.0,4,28.0,7.0,4,24.0,8.0,3,26.0,8.666666666666666,3,,,0,,,0,,,0,,,0
Jodie Sweetin,Keo Motsepe,22,6,Eliminated Week 8,8.0,Actor/Actress,34,20.0,6.666666666666667,3,21.0,7.0,3,23.0,7.666666666666667,3,27.0,6.75,4,35.0,8.75,4,25.0,8.333333333333334,3,25.5,8.5,3,30.0,10.0,3,,,0,,,0,,,0
Doug Flutie,Karina Smirnoff,22,9,Eliminated Week 6,6.0,Athlete,53,15.0,5.0,3,20.0,6.666666666666667,3,20.0,6.666666666666667,3,24.0,6.0,4,28.0,7.0,4,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0
Von Miller,Witney Carson,22,7,Eliminated Week 7,7.0,Athlete,27,21.0,7.0,3,20.0,6.666666666666667,3,20.0,6.666666666666667,3,32.0,8.0,4,29.0,7.25,4,24.0,8.0,3,26.0,8.666666666666666,3,,,0,,,0,,,0,,,0
Antonio Brown,Sharna Burgess,22,5,Eliminated Week 9,9.0,Athlete,27,21.0,7.0,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,35.0,8.75,4,26.0,6.5,4,27.0,9.0,3,26.0,8.666666666666666,3,27.0,9.0,3,27.5,9.166666666666666,3,,,0,,,0
Paige VanZant,Mark Ballas,22,2,2nd Place,,Athlete,22,21.0,7.0,3,24.0,8.0,3,23.0,7.666666666666667,3,36.0,9.0,4,31.0,7.75,4,28.0,9.333333333333334,3,27.5,9.166666666666666,3,28.0,9.333333333333334,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,,,0
Geraldo Rivera,Edyta Sliwinska,22,12,Eliminated Week 2,2.0,Journalist,72,13.0,4.333333333333333,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Nyle DiMarco,Peta Murgatroyd,22,1,1st Place,,Model,26,23.0,7.666666666666667,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,34.0,8.5,4,37.0,9.25,4,25.0,8.333333333333334,3,28.0,9.333333333333334,3,29.0,9.666666666666666,3,28.5,9.5,3,28.9998,9.6666,3,,,0
Ginger Zee,Valentin Chmerkovskiy,22,3,3rd Place,,News Anchor,35,23.0,7.666666666666667,3,21.0,7.0,3,21.0,7.0,3,36.0,9.0,4,32.0,8.0,4,24.0,8.0,3,27.5,9.166666666666666,3,30.0,10.0,3,28.0,9.333333333333334,3,28.333199999999998,9.4444,3,,,0
Wanya Morris,Lindsay Arnold,22,4,Eliminated Week 9,9.0,Singer/Rapper,42,23.0,7.666666666666667,3,24.0,8.0,3,24.0,8.0,3,35.0,8.75,4,30.0,7.5,4,29.0,9.666666666666666,3,27.5,9.166666666666666,3,25.0,8.333333333333334,3,30.0,10.0,3,,,0,,,0
Marla Maples,Tony Dovolani,22,10,Eliminated Week 4,4.0,TV Personality,52,21.0,7.0,3,20.0,6.666666666666667,3,21.0,7.0,3,28.0,7.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Jake T. Austin,Jenna Johnson,23,13,Eliminated Week 2,2.0,Actor/Actress,21,22.0,5.5,4,24.0,6.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Maureen McCormick,Artem Chigvintsev,23,8,Eliminated Week 7,7.0,Actor/Actress,60,22.0,5.5,4,26.0,6.5,4,28.0,7.0,4,24.0,8.0,3,24.0,8.0,3,31.0,7.75,4,33.0,8.25,4,,,0,,,0,,,0,,,0
Marilu Henner,Derek Hough,23,6,Eliminated Week 9,9.0,Actor/Actress,64,27.0,6.75,4,27.0,6.75,4,28.0,7.0,4,21.0,7.0,3,27.0,9.0,3,34.0,8.5,4,32.0,8.0,4,23.0,7.666666666666667,3,36.0,9.0,4,,,0,,,0
Ryan Lochte,Cheryl Burke,23,7,Eliminated Week 8,8.0,Athlete,32,24.0,6.0,4,24.0,6.0,4,25.0,6.25,4,22.0,7.333333333333333,3,24.0,8.0,3,30.0,7.5,4,33.0,8.25,4,26.0,8.666666666666666,3,,,0,,,0,,,0
Calvin Johnson Jr.,Lindsay Arnold,23,3,3rd Place,,Athlete,30,26.0,6.5,4,28.0,7.0,4,32.0,8.0,4,23.0,7.666666666666667,3,24.0,8.0,3,37.0,9.25,4,37.0,9.25,4,30.0,10.0,3,37.0,9.25,4,28.0,9.333333333333334,3,38.3331,9.583275,4
Laurie Hernandez,Valentin Chmerkovskiy,23,1,1st Place,,Athlete,16,31.0,7.75,4,32.0,8.0,4,31.0,7.75,4,30.0,10.0,3,25.0,8.333333333333334,3,37.0,9.25,4,34.5,8.625,4,33.0,11.0,3,40.0,10.0,4,30.0,10.0,3,39.333200000000005,9.833300000000001,4
Amber Rose,Maksim Chmerkoskiy,23,9,Eliminated Week 6,6.0,Model,32,24.0,6.0,4,24.0,6.0,4,25.0,6.25,4,24.0,8.0,3,24.0,8.0,3,28.0,7.0,4,,,0,,,0,,,0,,,0,,,0
Rick Perry,Emma Slater,23,12,Eliminated Week 3,3.0,Politician,66,20.0,5.0,4,22.0,5.5,4,23.0,5.75,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
James Hinchcliffe,Sharna Burgess,23,2,2nd Place,,Racing Driver,29,31.0,7.75,4,29.0,7.25,4,29.0,7.25,4,28.0,9.333333333333334,3,29.0,9.666666666666666,3,38.0,9.5,4,37.0,9.25,4,34.9998,11.6666,3,36.0,9.0,4,29.5,9.833333333333334,3,38.9998,9.74995,4
Babyface,Allison Holker,23,11,Eliminated Week 4,4.0,Singer/Rapper,57,26.0,6.5,4,30.0,7.5,4,25.0,6.25,4,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Vanilla Ice,Witney Carson,23,10,Eliminated Week 4,4.0,Singer/Rapper,48,25.0,6.25,4,26.0,6.5,4,23.0,5.75,4,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Jana Kramer,Gleb Savchenko,23,4,Eliminated Week 11,11.0,Singer/Rapper,32,27.0,6.75,4,29.0,7.25,4,26.0,6.5,4,23.0,7.666666666666667,3,26.0,8.666666666666666,3,40.0,10.0,4,34.5,8.625,4,30.0,10.0,3,40.0,10.0,4,29.0,9.666666666666666,3,35.5,8.875,4
Terra Jole,Sasha Farber,23,5,Eliminated Week 10,10.0,TV Personality,36,25.0,6.25,4,31.0,7.75,4,30.0,7.5,4,25.0,8.333333333333334,3,27.0,9.0,3,30.0,7.5,4,34.5,8.625,4,24.0,8.0,3,38.0,9.5,4,30.0,10.0,3,,,0
Charo,Keo Motsepe,24,11,Eliminated Week 3,3.0,Actor/Actress,66,21.0,5.25,4,25.0,6.25,4,24.0,6.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Mr. T,Kym Herjavec,24,10,Eliminated Week 4,4.0,Actor/Actress,64,20.0,5.0,4,22.0,5.5,4,24.0,6.0,4,28.0,7.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Heather Morris,Maksim Chmerkoskiy,24,8,Eliminated Week 6,6.0,Actor/Actress,30,28.0,7.0,4,30.0,7.5,4,33.0,8.25,4,35.0,8.75,4,34.0,8.5,4,37.0,9.25,4,,,0,,,0,,,0,,,0,,,0
Nancy Kerrigan,Artem Chigvintsev,24,7,Eliminated Week 7,7.0,Athlete,47,28.0,7.0,4,28.0,7.0,4,33.0,8.25,4,33.0,8.25,4,36.0,9.0,4,33.5,8.375,4,36.0,9.0,4,,,0,,,0,,,0,,,0
Bonner Bolton,Sharna Burgess,24,5,Eliminated Week 8,8.0,Athlete,29,22.0,5.5,4,28.0,7.0,4,24.0,6.0,4,32.0,8.0,4,30.0,7.5,4,31.5,7.875,4,31.0,7.75,4,29.0,7.25,4,,,0,,,0,,,0
Simone Biles,Sasha Farber,24,4,Eliminated Week 9,9.0,Athlete,20,32.0,8.0,4,29.0,7.25,4,32.0,8.0,4,36.0,9.0,4,38.0,9.5,4,34.5,8.625,4,39.0,9.75,4,36.0,9.0,4,40.0,10.0,4,,,0,,,0
David Ross,Lindsay Arnold,24,2,2nd Place,,Athlete,40,28.0,7.0,4,27.0,6.75,4,31.0,7.75,4,31.0,7.75,4,29.0,7.25,4,31.0,7.75,4,32.0,8.0,4,32.5,8.125,4,35.0,8.75,4,36.3333,9.083325,4,,,0
Rashad Jennings,Emma Slater,24,1,1st Place,,Athlete,32,31.0,7.75,4,32.0,8.0,4,28.0,7.0,4,39.0,9.75,4,32.0,8.0,4,35.0,8.75,4,39.0,9.75,4,37.5,9.375,4,38.5,9.625,4,39.6666,9.91665,4,,,0
Chris Kattan,Witney Carson,24,12,Eliminated Week 2,2.0,Comedian,46,17.0,4.25,4,22.0,5.5,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Erika Jayne,Gleb Savchenko,24,9,Eliminated Week 5,5.0,Singer/Rapper,45,24.0,6.0,4,28.0,7.0,4,26.0,6.5,4,30.0,7.5,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0,,,0
Normani,Valentin Chmerkovskiy,24,3,3rd Place,,Singer/Rapper,20,27.0,6.75,4,32.0,8.0,4,34.0,8.5,4,32.0,8.0,4,39.0,9.75,4,36.0,9.0,4,42.0,10.5,4,39.5,9.875,4,38.0,9.5,4,39.333200000000005,9.833300000000001,4,,,0
Nick Viall,Peta Murgatroyd,24,6,Eliminated Week 7,7.0,TV Personality,36,24.0,6.0,4,25.0,6.25,4,26.0,6.5,4,30.0,7.5,4,34.0,8.5,4,30.5,7.625,4,34.0,8.5,4,,,0,,,0,,,0,,,0
Sasha Pieterse,Gleb Savchenko,25,10,Eliminated Week 5,5.0,Actor/Actress,21,18.0,6.0,3,22.5,7.5,3,19.0,6.333333333333333,3,24.0,8.0,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Frankie Muniz,Witney Carson,25,3,3rd Place,,Actor/Actress,31,19.0,6.333333333333333,3,24.0,8.0,3,21.0,7.0,3,24.0,8.0,3,29.0,9.666666666666666,3,31.0,7.75,4,30.0,10.0,3,26.5,8.833333333333334,3,25.5,8.5,3,38.8887,9.722175,4,,,0
Jordan Fisher,Lindsay Arnold,25,1,1st Place,,Actor/Actress,23,22.0,7.333333333333333,3,24.0,8.0,3,25.0,8.333333333333334,3,29.0,9.666666666666666,3,30.0,10.0,3,39.0,9.75,4,27.0,9.0,3,30.0,10.0,3,29.0,9.666666666666666,3,40.0,10.0,4,,,0
Derek Fisher,Sharna Burgess,25,11,Eliminated Week 4,4.0,Athlete,43,18.0,6.0,3,19.0,6.333333333333333,3,21.0,7.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Nikki Bella,Artem Chigvintsev,25,8,Eliminated Week 7,7.0,Athlete,33,20.0,6.666666666666667,3,19.5,6.5,3,21.0,7.0,3,24.0,8.0,3,27.0,9.0,3,36.0,9.0,4,24.0,8.0,3,,,0,,,0,,,0,,,0
Terrell Owens,Cheryl Burke,25,6,Eliminated Week 8,8.0,Athlete,43,15.0,5.0,3,19.5,6.5,3,21.0,7.0,3,24.0,8.0,3,25.0,8.333333333333334,3,37.0,9.25,4,24.5,8.166666666666666,3,25.5,8.5,3,,,0,,,0,,,0
Victoria Arlen,Valentin Chmerkovskiy,25,5,Eliminated Week 9,9.0,Athlete,22,19.0,6.333333333333333,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,27.0,9.0,3,27.0,9.0,3,31.0,7.75,4,28.5,9.5,3,24.0,8.0,3,28.0,9.333333333333334,3,,,0,,,0
